name,title,college,google_scholar
Mark E. Bollman,Professor,Albion College,https://scholar.google.com/citations?user=mNGSj3cAAAAJ&hl=en
Tim Clark,Associate Professor,Albion College,https://scholar.google.com/citations?user=xdEJxXMAAAAJ&hl=en
April Grow,Lecturer,Albion College,https://scholar.google.com/citations?hl=en&user=kyenQWsAAAAJ
Christopher Grow,Visiting Instructor,Albion College,https://scholar.google.com/citations?user=Cf-ZlZAAAAAJ&hl=en
Mauricio Marengoni,Associate Professor,Albion College,https://scholar.google.com/citations?user=bP8LIv0AAAAJ&hl=en
Darren E. Mason,Professor,Albion College,https://scholar.google.com/citations?user=FL8caiQAAAAJ&hl=en
David A. Reimann,Professor,Albion College,https://scholar.google.com/citations?user=XYboNJYAAAAJ&hl=en
Yuming Zhang,Assistant Professor,Albion College,https://scholar.google.com/citations?user=kLq671IAAAAJ&hl=en
Don Baldridge,Assistant Professor,Albright College,https://scholar.google.com/citations?hl=en&user=H6N7EI8AAAAJ
Dave Kaul,Assistant Professor,Albright College,https://scholar.google.com/citations?user=1TK3gisAAAAJ&hl=en
David Kopec,Professor,Albright College,https://scholar.google.com/citations?user=3-RU6LEAAAAJ&hl=en
Oliver Bonham-Carter,Associate Professor,Allegheny College,https://scholar.google.com/citations?user=Ngz7oxoAAAAJ&hl=en
Janyl Jumadinova,Associate Professor,Allegheny College,https://scholar.google.com/citations?user=LUu7Xg8AAAAJ&hl=en
Gregory Kapfhammer,Associate Professor,Allegheny College,https://scholar.google.com/citations?user=g0eDPjYAAAAJ&hl=en
Douglas Luman,Assistant Professor,Allegheny College,https://scholar.google.com/citations?hl=en&user=niU2BBsAAAAJ
Scott P. Alfeld,Associate Professor,Amherst College,https://scholar.google.com/citations?user=RuEG7UAAAAAJ&hl=en
Kristy Gardner,Associate Professor,Amherst College,https://scholar.google.com/citations?user=mOGiwO8AAAAJ&hl=en
Scott F. Kaplan,Professor,Amherst College,https://scholar.google.com/citations?hl=en&user=p4wtnusAAAAJ
Myroslav Kryven,Assistant Professor,Amherst College,https://scholar.google.com/citations?user=qPArpswAAAAJ&hl=de
Lillian C. Pentecost,Assistant Professor,Amherst College,https://scholar.google.com/citations?user=tgaj15QAAAAJ&hl=en
John E. Rager,Professor,Amherst College,https://scholar.google.com/citations?user=mOGiwO8AAAAJ&hl=en
Matteo Riondato,Associate Professor,Amherst College,https://scholar.google.com/citations?user=5okzSN0AAAAJ&hl=en
Lee Spector,Professor,Amherst College,https://scholar.google.com/citations?user=wtKLtLUAAAAJ&hl=en
Shira B. Wein,Assistant Professor,Amherst College,https://scholar.google.com/citations?user=z3GD9pEAAAAJ&hl=en
Andrew Wu,Assistant Professor,Amherst College,https://scholar.google.com/citations?hl=en&user=1RElnvEAAAAJ
Robert Dickerson,Assistant Professor,Augustana College,https://scholar.google.com/citations?hl=en&user=kCUqY723xj8C
Zhengyi Li,Assistant Professor,Augustana College,https://scholar.google.com/citations?user=txKiQOEAAAAJ&hl=en
Bob Manasco,Instructor,Augustana College,https://scholar.google.com/citations?user=GBoFskAAAAAJ&hl=en
Nidhi Mourya,Visiting Instructor,Augustana College,https://scholar.google.com/citations?user=RrerBvkAAAAJ&hl=en
Diane C. Mueller,Adjunct Assistant Professor,Augustana College,https://scholar.google.com/citations?user=L_iQLxoAAAAJ&hl=en
Brooke Randazzo,Assistant Professor,Augustana College,https://scholar.google.com/citations?user=GBoFskAAAAAJ&hl=en
Stacey Rodman,Professor,Augustana College,https://scholar.google.com/citations?hl=en&user=tkDqciQAAAAJ
Forrest J. Stonedahl,Associate Professor,Augustana College,https://scholar.google.com/citations?hl=en&user=yMh5IloAAAAJ
Andrew P. Sward,Associate Professor,Augustana College,https://scholar.google.com/citations?hl=en&user=i9Zp4AEAAAAJ
Seema Aarella,Assistant Professor,Austin College,https://scholar.google.com/citations?user=ti5Tn38AAAAJ&hl=en
Aaron Block,Associate Professor,Austin College,https://scholar.google.com/citations?user=df8z7MQAAAAJ&hl=en
Michael Higgs,Professor,Austin College,https://scholar.google.com/citations?user=oAPdbtAAAAAJ&hl=en
Samuel Kroger,Assistant Professor,Austin College,https://scholar.google.com/citations?user=Jbo28DsAAAAJ&hl=en
Kerri-Ann Norton,Associate Professor,Bard College,https://scholar.google.com/citations?user=EmEnDFwAAAAJ&hl=en
Sven Anderson,Associate Professor,Bard College,https://scholar.google.com/citations?user=HdltOqUAAAAJ&hl=en
Jordan Ayala,Assistant Professor,Bard College,https://scholar.google.com/citations?hl=en&user=RCvrBmIAAAAJ
Valerie Barr,Professor,Bard College,https://scholar.google.com/citations?user=PXnp3pMAAAAJ&hl=en
Emma Benser,Assistant Professor,Bard College,https://scholar.google.com/citations?user=MuMljE0AAAAJ&hl=en
Theresa Law,Assistant Professor,Bard College,https://scholar.google.com/citations?hl=en&user=fnaBpUoAAAAJ
Bob McGrail,Associate Professor,Bard College,https://scholar.google.com/citations?user=LvCltocAAAAJ&hl=en
Annabel Rothschild,Assistant Professor,Bard College,https://scholar.google.com/citations?user=P2jdT5wAAAAJ&hl=en
Rebecca Wright,Professor,Barnard College,https://scholar.google.com/citations?user=L-xeJPoAAAAJ&hl=en
Smaranda Muresan,Associate Professor,Barnard College,https://scholar.google.com/citations?hl=en&user=Esbx2VcAAAAJ
Ahmer Arif,Assistant Professor,Barnard College,https://scholar.google.com/citations?hl=en&user=AYah22UAAAAJ
Eysa Lee,Assistant Professor,Barnard College,https://scholar.google.com/citations?user=NIgkvEUAAAAJ&hl=en
Mark Santolucito,Assistant Professor,Barnard College,https://scholar.google.com/citations?user=cGC93mIAAAAJ&hl=en
Lucy Simko,Assistant Professor,Barnard College,https://scholar.google.com/citations?user=pYzTlI0AAAAJ&hl=en
Corey Toler-Franklin,Assistant Professor,Barnard College,https://scholar.google.com/citations?user=N8Gc_9gAAAAJ&hl=en
Tiffany Tseng,Assistant Professor,Barnard College,https://scholar.google.com/citations?user=n2VLT40AAAAJ&hl=en
Eyad Haj Said,Associate Professor,Beloit College,https://scholar.google.com/citations?user=iR3Y2ycAAAAJ&hl=en
Katherine Harris,Assistant Professor,Beloit College,https://scholar.google.com/citations?hl=en&user=m5lusK8AAAAJ
Sohaib Kiani,Assistant Professor,Beloit College,https://scholar.google.com/citations?user=fD2AEhsAAAAJ&hl=en
Tom Stojsavljevic,Assistant Professor,Beloit College,https://scholar.google.com/citations?user=HOc2ni4AAAAJ&hl=en
Ben Stucky,Assistant Professor,Beloit College,https://scholar.google.com/citations?user=P8cGOVoAAAAJ&hl=en
Jan Pearce,Professor,Berea College,https://scholar.google.com/citations?user=k6qAQ8MAAAAJ&hl=en
Jacqueline Boggs,Assistant Professor,Berea College,https://scholar.google.com/citations?hl=en&user=wE21ZdIAAAAJ
Scott Heggen,Associate Professor,Berea College,https://scholar.google.com/citations?user=sHcSUfcAAAAJ&hl=en
Jasmine Jones,Associate Professor,Berea College,https://scholar.google.com/citations?user=jY_5OMkAAAAJ&hl=en
Mario Nakazawa,Associate Professor,Berea College,https://scholar.google.com/citations?user=jY_5OMkAAAAJ&hl=en
Deanna Wilborne,Assistant Professor,Berea College,https://scholar.google.com/citations?hl=en&user=WGZcP5oAAAAJ
Alex Mathew,Associate Professor,Bethany College (WV),https://scholar.google.com/citations?user=pm5u8o8AAAAJ&hl=en
Fujiko Nito,Professor,Bethany College (WV),https://scholar.google.com/citations?hl=en&user=6PMgeWcAAAAJ
Perry Lund,Adjunct Assistant Professor,Bethany Lutheran College,https://scholar.google.com/citations?user=IllkELIAAAAJ&hl=en
Sean K. Barker,Associate Professor,Bowdoin College,https://scholar.google.com/citations?user=nBDKcywAAAAJ&hl=en
David Byrd,Assistant Professor,Bowdoin College,https://scholar.google.com/citations?user=lF8h840AAAAJ&hl=en
Jeová Farias,Assistant Professor,Bowdoin College,https://scholar.google.com/citations?user=jpdvR1IAAAAJ&hl=en
Cibele Matos Freire,Assistant Professor,Bowdoin College,https://scholar.google.com/citations?user=qyLFvWUAAAAJ&hl=en
Sarah M. Harmon,Associate Professor,Bowdoin College,https://scholar.google.com/citations?hl=en&user=8cfEMEIAAAAJ
Stephen Houser,Adjunct Lecturer,Bowdoin College,https://scholar.google.com/citations?user=O6HvoFwAAAAJ&hl=en
Bobak Kiani,Assistant Professor,Bowdoin College,https://scholar.google.com/citations?user=fz1mq4AAAAAJ&hl=en
Jeffrey Knockel,Assistant Professor,Bowdoin College,https://scholar.google.com/citations?user=Sn7mv9sAAAAJ&hl=en
Christopher Martin,Visiting Lecturer,Bowdoin College,https://scholar.google.com/citations?user=XMR20kIAAAAJ&hl=en
Laura I. Toma,Professor,Bowdoin College,https://scholar.google.com/citations?user=PGE7W9sAAAAJ&hl=en
Verne E. Leininger,Associate Professor,Bridgewater College,https://scholar.google.com/citations?user=4XrLznQAAAAJ&hl=en
Eric McGregor,Associate Professor,Bridgewater College,https://scholar.google.com/citations?user=IpBjTKQAAAAJ&hl=en
Fredrik Bryntesson,Professor,Bryn Athyn College,https://scholar.google.com/citations?user=J1xYepcAAAAJ&hl=en
Stella Evans,Assistant Professor,Bryn Athyn College,https://scholar.google.com/citations?user=J1xYepcAAAAJ&hl=en
Thomas Frazier,Lecturer,Bryn Athyn College,https://scholar.google.com/citations?hl=en&user=_E0dMswAAAAJ
Ellen McKee,Adjunct Professor,Bryn Athyn College,https://scholar.google.com/citations?user=J1xYepcAAAAJ&hl=en
Ryan Pine,Assistant Professor,Bryn Athyn College,https://scholar.google.com/citations?hl=en&user=grQ_GBgAAAAJ
Elizabeth Hollister Rogers,Professor,Bryn Athyn College,https://scholar.google.com/citations?hl=en&user=r87Hh-oAAAAJ
Neil Simonetti,Professor,Bryn Athyn College,https://scholar.google.com/citations?user=J1xYepcAAAAJ&hl=en
Elizabeth Dinella,Assistant Professor,Bryn Mawr College,https://scholar.google.com/citations?hl=en&user=r87Hh-oAAAAJ
Ramesh Garimella,Visiting Professor,Bryn Mawr College,https://scholar.google.com/citations?hl=en&user=_imuHO0AAAAJ
Aline Normoyle,Assistant Professor,Bryn Mawr College,https://scholar.google.com/citations?user=tV65fdoAAAAJ&hl=en
Adam Poliak,Assistant Professor,Bryn Mawr College,https://scholar.google.com/citations?user=emOpjxAAAAAJ&hl=en
Michael Wehar,Visiting Assistant Professor,Bryn Mawr College,https://scholar.google.com/citations?user=Fzn8GGgAAAAJ&hl=en
Dianna Xu,Professor,Bryn Mawr College,https://scholar.google.com/citations?hl=en&user=_imuHO0AAAAJ
Alan Marchiori,Associate Professor,Bucknell University,https://scholar.google.com/citations?user=8iTsYW8AAAAJ&hl=en
Lea Wittie,Associate Professor,Bucknell University,https://scholar.google.com/citations?user=xY3KfJkAAAAJ&hl=en
Alexander Fuchsberger,Associate Teaching Professor,Bucknell University,https://scholar.google.com/citations?user=_pK9CUAAAAAJ&hl=en
Samuel Gutekunst,Assistant Professor,Bucknell University,https://scholar.google.com/citations?user=FoFd_yIAAAAJ&hl=en
Jessen Havill,Professor,Bucknell University,https://scholar.google.com/citations?user=3o5eIGkAAAAJ&hl=en
Brian King,Associate Professor,Bucknell University,https://scholar.google.com/citations?user=rm9T9sMAAAAJ&hl=en
Rajesh Kumar,Assistant Professor,Bucknell University,https://scholar.google.com/citations?user=5cX99iUAAAAJ&hl=en
SingChun Lee,Assistant Professor,Bucknell University,https://scholar.google.com/citations?user=2QeBdZUAAAAJ&hl=en
Darakhshan Mir,Associate Professor,Bucknell University,https://scholar.google.com/citations?user=ZDmps1UAAAAJ&hl=en
Chris Mitsch,Visiting Assistant Professor,Bucknell University,https://scholar.google.com/citations?user=SbxAwqAAAAAJ&hl=en
Luiz Felipe Perrone,Professor,Bucknell University,https://scholar.google.com/citations?user=hs-MFm8AAAAJ&hl=en
Swetha Reddy Ravula,Visiting Assistant Professor,Bucknell University,https://scholar.google.com/citations?hl=en&user=izlhJMEAAAAJ
Lily Romano,Instructor,Bucknell University,https://scholar.google.com/citations?user=m4YvP_kAAAAJ&hl=en
Anne Ross,Assistant Professor,Bucknell University,https://scholar.google.com/citations?user=Ld20zmgAAAAJ&hl=en
Todd Schmid,Assistant Professor,Bucknell University,https://scholar.google.com/citations?user=ExSTJcQAAAAJ&hl=en
Joshua Stough,Associate Professor,Bucknell University,https://scholar.google.com/citations?user=JASM_10AAAAJ&hl=en
Edward Talmage,Associate Professor,Bucknell University,https://scholar.google.com/citations?user=HLJWOWMAAAAJ&hl=en
Amy Csizmar Dalal,Professor,Carleton College,https://scholar.google.com/citations?user=Ip5J5OEAAAAJ&hl=en
Eric Alexander,Associate Professor,Carleton College,https://scholar.google.com/citations?user=VQVDpFsAAAAJ&hl=en
Tanya Amert,Assistant Professor,Carleton College,https://scholar.google.com/citations?user=5uJAovIAAAAJ&hl=en
Josh Davis,Senior Lecturer,Carleton College,https://scholar.google.com/citations?user=LKmNj-IAAAAJ&hl=en
Chelsey Edge,Assistant Professor,Carleton College,https://scholar.google.com/citations?user=jRXbZO4AAAAJ&hl=en
David Liben-Nowell,Associate Professor,Carleton College,https://scholar.google.com/citations?user=NBwMS80AAAAJ&hl=en
Anna Meyer,Assistant Professor,Carleton College,https://scholar.google.com/citations?user=Xvh9KZ4AAAAJ&hl=en
David Musicant,Professor,Carleton College,https://scholar.google.com/citations?hl=en&user=LKmNj-IAAAAJ
Sneha Narayan,Assistant Professor,Carleton College,https://scholar.google.com/citations?user=2q5akfwAAAAJ&hl=en
Layla Oesper,Associate Professor,Carleton College,https://scholar.google.com/citations?user=rSiKy8AAAAAJ&hl=en
Jeff Ondich,Professor,Carleton College,https://scholar.google.com/citations?user=fArDpEgAAAAJ&hl=en
Anna Rafferty,Professor,Carleton College,https://scholar.google.com/citations?user=6S0sCwgAAAAJ&hl=en
Jean Salac,Assistant Professor,Carleton College,https://scholar.google.com/citations?user=qRjuJKQAAAAJ&hl=en
Anya Vostinar,Assistant Professor,Carleton College,https://scholar.google.com/citations?user=7ZwlPwsAAAAJ&hl=en
Robert Franks,Professor,Central College,https://scholar.google.com/citations?user=ZTZzkagAAAAJ&hl=en
Stephen Fyfe,Professor,Central College,https://scholar.google.com/citations?user=_vT-5UYAAAAJ&hl=en
Mark Johnson,Professor,Central College,https://scholar.google.com/citations?user=MAHp7jYAAAAJ&hl=en
Thomas E. Allen,Associate Professor,Centre College,https://scholar.google.com/citations?user=_psoN6kAAAAJ&hl=en
William Bailey,Assistant Professor,Centre College,https://scholar.google.com/citations?user=RBOnk7wAAAAJ&hl=en
Michael K. Bradshaw,Professor,Centre College,https://scholar.google.com/citations?user=8RABPNYAAAAJ&hl=en
Dave Toth,Professor,Centre College,https://scholar.google.com/citations?user=p7l5YccAAAAJ&hl=en
Abdelrahman Desoky,Associate Professor,Claflin University,https://scholar.google.com/citations?user=9tP8jsUAAAAJ&hl=en
Karina Liles,Assistant Professor,Claflin University,https://scholar.google.com/citations?user=pZvdQ9sAAAAJ&hl=en
Ms. Erika L. Rhett,Lecturer,Claflin University,
Pawar Shrikant,Assistant Professor,Claflin University,https://scholar.google.com/citations?user=SvcIPSsAAAAJ&hl=en
Stephen Hughes,Associate Professor,Coe College,https://scholar.google.com/citations?user=J1wcT78AAAAJ
Namrata Saha,Visiting Assistant Professor,Coe College,https://scholar.google.com/citations?user=WIbJeikAAAAJ&hl=en
Michael Stobb,Associate Professor,Coe College,https://scholar.google.com/citations?user=Jsmtc8IAAAAJ&hl=en
Terry Hostetler,Professor,Coe College,https://scholar.google.com/citations?user=6qMo9nAAAAAJ&hl=en
Calvin Van Niewaal,Professor,Coe College,https://scholar.google.com/citations?hl=en&user=OmWgrGIAAAAJ
Stephanie Taylor,Professor,Colby College,https://scholar.google.com/citations?user=rYOun6YAAAAJ&hl=en
Eric Aaron,Associate Professor,Colby College,https://scholar.google.com/citations?user=CakF_eoAAAAJ&hl=en
Naser Al Madi,Visiting Assistant Professor,Colby College,https://scholar.google.com/citations?user=JnsmU1oAAAAJ&hl=en
Max Bender,Assistant Professor,Colby College,https://scholar.google.com/citations?user=ikjS5acAAAAJ&hl=en
Tahiya Chowdhury,Assistant Professor,Colby College,https://scholar.google.com/citations?user=xF9c348AAAAJ&hl=en
Stacy Doore,Assistant Professor,Colby College,https://scholar.google.com/citations?user=DIJAtq8AAAAJ&hl=en
Allen Harper,Assistant Professor,Colby College,https://scholar.google.com/citations?hl=en&user=5NrGjVEAAAAJ
Ike Lage,Assistant Professor,Colby College,https://scholar.google.com/citations?user=ikjS5acAAAAJ&hl=en
Oliver Layton,Associate Professor,Colby College,https://scholar.google.com/citations?user=KAteVRoAAAAJ&hl=en
Ying Li,Associate Professor,Colby College,https://scholar.google.com/citations?user=yBGwGbYAAAAJ&hl=en
Hannen Wolfe,Assistant Professor,Colby College,https://scholar.google.com/citations?hl=en&user=e8tzLt8AAAAJ
Noah Apthorpe,Assistant Professor,Colgate University,https://scholar.google.com/citations?user=1cBMDGwAAAAJ&hl=en
Valerie Cucura,Senior Lab Instructor,Colgate University,https://scholar.google.com/citations?user=sEv8ff0AAAAJ&hl=en
Forrest Davis,Assistant Professor,Colgate University,https://scholar.google.com/citations?user=EkuHy7AAAAAJ&hl=en
Nicholas Diana,Assistant Professor,Colgate University,https://scholar.google.com/citations?user=G3Vtp6IAAAAJ&hl=en
Elodie Fourquet,Associate Professor,Colgate University,https://scholar.google.com/citations?user=07PlPHwAAAAJ&hl=en
Aaron Gember-Jacobson,Associate Professor,Colgate University,https://scholar.google.com/citations?user=fS0ahg8AAAAJ&hl=en
Georgiana Haldeman,Assistant Professor,Colgate University,https://scholar.google.com/citations?user=f-gMi0gAAAAJ&hl=en
Matt Lyboult,Senior Lab Instructor,Colgate University,https://scholar.google.com/citations?hl=en&user=qTUrNbEAAAAJ
David Perkins,Visiting Assistant Professor,Colgate University,https://scholar.google.com/citations?hl=en&user=78f0rNsAAAAJ
Grusha Prasad,Assistant Professor,Colgate University,https://scholar.google.com/citations?user=NK8fCFgAAAAJ&hl=en
Vijay Ramachandran,Associate Professor,Colgate University,https://scholar.google.com/citations?user=3rq29xkAAAAJ&hl=en
Joel Sommers,Professor,Colgate University,https://scholar.google.com/citations?user=NQS4qHUAAAAJ&hl=en
Katelyn Valete,Lab Instructor,Colgate University,https://scholar.google.com/citations?hl=en&user=YI72xjIAAAAJ
Puck Wen,Assistant Professor,Colgate University,https://scholar.google.com/citations?user=bFwaymkAAAAJ&hl=zh-CN
Heather Amthauer,Associate Professor,College of St Benedict,https://scholar.google.com/citations?user=I2fbJ2wAAAAJ&hl=en
Robert Hesse,Associate Professor,College of St Benedict,https://scholar.google.com/citations?user=ZDLZhBcAAAAJ&hl=en
Peter Ohmann,Associate Professor,College of St Benedict,https://scholar.google.com/citations?user=I2fbJ2wAAAAJ&hl=en
Imad Rahal,Professor,College of St Benedict,https://scholar.google.com/citations?user=hXDmnOoAAAAJ&hl=en
Vijay Srinivas Tida,Assistant Professor,College of St Benedict,https://scholar.google.com/citations?user=iZ7DIXcAAAAJ&hl=en
Srikanth Vemula,Assistant Professor,College of St Benedict,https://scholar.google.com/citations?user=ZxCt5j4AAAAJ&hl=en
Eric Ruggieri,Professor,College of the Holy Cross,https://scholar.google.com/citations?user=w7tVs24AAAAJ&hl=en
Alisa DeStefano,Professor,College of the Holy Cross,https://scholar.google.com/citations?user=LYor_cAAAAAJ&hl=en
Wenxin Du,Assistant Professor,College of the Holy Cross,https://scholar.google.com/citations?hl=en&user=4NHwawIAAAAJ
Zack Fitzsimmons,Associate Professor,College of the Holy Cross,https://scholar.google.com/citations?user=oY_mn2oAAAAJ&hl=en
Sharon Frechette,Associate Professor,College of the Holy Cross,https://scholar.google.com/citations?hl=en&user=07Bj4T4AAAAJ
Heather Guarnera,Assistant Professor,College of Wooster,https://scholar.google.com/citations?user=r1wJOS8AAAAJ&hl=en
Drew Guarnera,Assistant Professor,College of Wooster,https://scholar.google.com/citations?user=vFhk1RkAAAAJ&hl=en
John Musgrave,Visiting Assistant Professor,College of Wooster,https://scholar.google.com/citations?user=uOC_FHQAAAAJ&hl=en
Alex Nord,Assistant Professor,College of Wooster,https://scholar.google.com/citations?user=DerYKYkAAAAJ&hl=en
Dan Palmer,Professor,College of Wooster,https://scholar.google.com/citations?hl=en&user=BpZfPaEAAAAJ
Sofia Visa,Professor,College of Wooster,https://scholar.google.com/citations?hl=en&user=S9wYSV4AAAAJ
Ike Agbanusi,Assistant Professor,Colorado College,https://scholar.google.com/citations?hl=en&user=bMY6rPYAAAAJ
David Brown,Professor,Colorado College,https://scholar.google.com/citations?user=WMGFmzgAAAAJ&hl=en
Janet Burge,Associate Professor,Colorado College,https://scholar.google.com/citations?user=WuAdnxIAAAAJ&hl=en
Danielle Ellsworth,Assistant Professor,Colorado College,https://scholar.google.com/citations?user=vwpsiy0AAAAJ&hl=en
Stefan Erickson,Associate Professor,Colorado College,https://scholar.google.com/citations?user=UWxaA5YAAAAJ&hl=en
Rebecca Garcia,Professor,Colorado College,https://scholar.google.com/citations?hl=en&user=HTkan3UAAAAJ
Luis David Garcia Puente,Professor,Colorado College,https://scholar.google.com/citations?user=T3JESvAAAAAJ&hl=en
Blake Jackson,Assistant Professor,Colorado College,https://scholar.google.com/citations?user=TxCFgkwAAAAJ&hl=en
Minho Kim,Assistant Professor,Colorado College,https://scholar.google.com/citations?user=H1BMC3kAAAAJ&hl=ko
Varsha Koushik,Assistant Professor,Colorado College,https://scholar.google.com/citations?user=bnSvx1UAAAAJ&hl=en
Beth Malmskog,Associate Professor,Colorado College,https://scholar.google.com/citations?user=aHnRzEcAAAAJ&hl=en
Jane McDougall,Associate Professor,Colorado College,https://scholar.google.com/citations?user=iPga1l4AAAAJ&hl=en
Molly Moran,Associate Professor,Colorado College,https://scholar.google.com/citations?user=AyYB4aMAAAAJ&hl=en
Ben Nye,Assistant Professor,Colorado College,https://scholar.google.com/citations?user=8MKfjycAAAAJ&hl=en
Eddie Price,Visiting Assistant Professor,Colorado College,https://scholar.google.com/citations?hl=en&user=79gmWF8AAAAJ
Flavia Sancier-Barbosa,Associate Professor,Colorado College,https://scholar.google.com/citations?user=oQFnhDIAAAAJ&hl=en
Cory B Scott,Assistant Professor,Colorado College,https://scholar.google.com/citations?user=Q82UIV8AAAAJ&hl=en
Mike Siddoway,Professor,Colorado College,https://scholar.google.com/citations?user=tkrqR1UAAAAJ&hl=en
Ahmed Kamel,Professor,Concordia College,https://scholar.google.com/citations?hl=en&user=DKWUx5oAAAAJ
Damian Lampl,Assistant Professor,Concordia College,https://scholar.google.com/citations?user=CRhDUdoAAAAJ&hl=en
Gregory Tanner,Associate Professor,Concordia College,https://scholar.google.com/citations?hl=en&user=6cFv0t0AAAAJ
Christine Chung,Professor,Connecticut College,https://scholar.google.com/citations?hl=en&user=gIbbPOUAAAAJ
S. James Lee,Associate Professor,Connecticut College,https://scholar.google.com/citations?hl=en&user=DoZA7VkAAAAJ
Timothy Becker,Assistant Professor,Connecticut College,https://scholar.google.com/citations?user=6hv4-c4AAAAJ&hl=en
Stephen Douglass,Associate Professor,Connecticut College,https://scholar.google.com/citations?user=E7eGq_8AAAAJ&hl=en
Ozgur Izmirli,Professor,Connecticut College,https://scholar.google.com/citations?hl=en&user=oFj5AYoAAAAJ
Gary Parker,Professor,Connecticut College,https://scholar.google.com/citations?user=K5-socsAAAAJ&hl=en
William Tarimo,Assistant Professor,Connecticut College,https://scholar.google.com/citations?user=zkieFRoAAAAJ&hl=en
William Barnes,Adjunct Instructor,Connecticut College,https://scholar.google.com/citations?user=RKIvQUwAAAAJ&hl=en
Thomas Daggett,Adjunct Professor,Connecticut College,https://scholar.google.com/citations?hl=en&user=ma2M5DoAAAAJ
Robert Peitzsch,Adjunct Professor,Connecticut College,https://scholar.google.com/citations?user=Z6gtCbkAAAAJ&hl=en
John Schaeffer,Adjunct Instructor,Connecticut College,https://scholar.google.com/citations?user=TIEVrr8AAAAJ&hl=en
Leon Tabak,Professor,Cornell College,https://scholar.google.com/citations?user=xSrUx2gAAAAJ&hl=en
Ajit Chavan,Associate Professor,Cornell College,https://scholar.google.com/citations?user=V9wvZaAAAAAJ&hl=en
Lauren Jepsen,Assistant Professor,Cornell College,https://scholar.google.com/citations?user=j1kMF48AAAAJ&hl=en
Jeff Humphries,Professor,Covenant College,https://scholar.google.com/citations?hl=en&user=NGNhTDoAAAAJ
Zeyu Zhou,Visiting Assistant Professor,Covenant College,https://scholar.google.com/citations?user=FABI3zwAAAAJ&hl=en
